instance,solution,execution_time
100_20_01,1831412,2617.8583579063416
100_20_02,1841000,2342.0545258522034
100_20_03,1708770,2725.039515733719
100_20_04,1978241,2160.474014043808
100_20_05,1564511,2358.7146339416504
100_20_06,1704005,2417.9257357120514
100_20_07,1815800,2819.742667913437
100_20_08,1810147,1798.739896774292
100_20_09,1875099,2177.9530730247498
100_20_10,1700711,2092.8258781433105
100_20_11,1860855,2317.303309202194
100_20_12,1754584,3107.0836338996887
100_20_13,1738183,2333.23548412323
100_20_14,1738246,3221.7997193336487
100_20_15,1474501,2692.8003058433533
100_20_16,1898425,2064.626846075058
100_20_17,1823088,2114.7623977661133
100_20_18,1857302,2560.973661184311
100_20_19,1715587,2166.1143429279327
100_20_20,1837245,2441.568297147751
100_20_21,1759282,2140.0164048671722
100_20_22,1782747,2217.0131022930145
100_20_23,1816796,2439.6123802661896
100_20_24,1732838,2487.015600204468
100_20_25,1741076,2300.716969013214
100_20_26,1582585,2011.7739520072937
100_20_27,1898467,2651.5864329338074
100_20_28,1766503,2295.2504551410675
100_20_29,2033626,2199.1304309368134
100_20_30,1794497,2422.1747829914093
50_20_01,603803,92.17107200622559
50_20_02,639504,86.93146896362305
50_20_03,599269,128.9765009880066
50_20_04,675038,106.70488595962524
50_20_05,661868,122.35048007965088
50_20_06,653296,115.14667391777039
50_20_07,579298,118.6204001903534
50_20_08,537400,94.8463089466095
50_20_09,577178,102.4565908908844
50_20_10,608924,111.35225701332092
50_20_11,617305,81.48990511894226
50_20_12,591322,85.13055372238159
50_20_13,558956,79.68939900398254
50_20_14,582931,112.03673815727234
50_20_15,606551,96.02764701843262
50_20_16,557384,112.64824318885803
50_20_17,657734,99.34011960029602
50_20_18,641491,125.96226286888123
50_20_19,472987,112.25722694396973
50_20_20,570744,98.68122792243958
50_20_21,635259,88.00786399841309
50_20_22,655097,95.58214092254639
50_20_23,615039,74.86641597747803
50_20_24,565402,115.90628719329834
50_20_25,597986,114.3855402469635
50_20_26,607289,85.180828332901
50_20_27,570318,137.75218319892883
50_20_28,556211,111.33551979064941
50_20_29,553290,104.97715711593628
50_20_30,514172,102.21446084976196
